evaluation_id,customer_message,top1_similarity,top5_average_similarity,top1_historical_customer,top1_historical_reply
29380,Dear @115858 @AppleSupport my iPhone 6plus keeps dropping calls (call failed). I executed all updates. Please advise.,0.289525911698862,0.26778666967473436,@AppleSupport iPhone 6Plus https://t.co/DpJbR3qXz1,"@761550 In iOS 11, you can turn auto-brightness on or off in Settings &gt; General &gt; Accessibility &gt; Display Accommodations. Send us a DM if you have any additional questions and we'll catch up there. https://t.co/GDrqU22YpT"
72443,"@AppleSupport iOS 11.0.3 causing massive battery drainage, can’t open apps without restarting phone and Bluetooth automatically turning on.",0.29204757396192205,0.24284892214692233,@AppleSupport what is with WiFi and Bluetooth automatically turning on? This new update is a security risk.,@516722 We're glad you asked. You can control Wi-Fi and Bluetooth connections two ways. Check out this article for details: https://t.co/G7BHuQnDS6
75029,"Dear   @115858 @AppleSupport -  you said I had an #update...  
now I have a black screen    

#DoNotLoadAppleUpdate",0.29120119281560614,0.24239208324346295,Can @AppleSupport help me please as I have a black screen!!,@396127 We want to help you with this. Which device has a black screen?
103084,Notch = no idea if alarm is set?! Bad iPhone X! Bad @115858!,0.2779940116262536,0.229945226296456,This new iOS is bad @115858 😐,@323723 We'd like to help if you need. Send us a DM and let us know what's going on? https://t.co/GDrqU22YpT
42093,i’m also really fucking annoyed the letter “eye” keeps fucking up! messing up my tweeting flow! @AppleSupport .. what is you doin!?,0.4377135394123554,0.3201888154877932,Fucking bug is messing up my keyboard. @115858 what is you doin!?,"@592470 Let us know in DM what you see occurring on your device, then we can work with you on this from there. https://t.co/GDrqU22YpT"
57386,@AppleSupport Why can’t I️ type the letter I️?,1.0,0.9788999022914204,@AppleSupport why can’t I️ type the letter I️ ❔❔❔,@475266  We want to help.  Send us a DM letting us know if you are updated to iOS 11.1. https://t.co/GDrqU22YpT
8909,"@115858 @AppleSupport  yoooo this update has messed my phone up, whats going on?",0.38730368645257407,0.35533526941536264,@115858 I’m pissed iOS 11 has messed my phone up so badly,@353856 Let's take a closer look together. Please DM us and we can go from there. https://t.co/GDrqU22YpT
98055,@AppleSupport @115858 when are you going to fix the I problem in the new software? https://t.co/04HDlgu6b3,0.7138018321193984,0.6488098785192808,@115858 when are you going to fix the I️ problem?,@526157 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
963,@AppleSupport Tried that too.Didn't work.,0.7375636775093336,0.6812638922502423,"@AppleSupport Tried that, didn't work",@655071 What happens if you try to make a phone call on your iPhone X?
100726,@AppleSupport Yes I have. And no it doesn’t. It’s been an issue since the initial 11 update and nothing resolves it,0.28606273638095137,0.28606273638095137,@AppleSupport Yes I have,@281962 Do you notice if it's slow on certain apps or throughout your entire iPhone? Let us know more in DM. https://t.co/GDrqU22YpT
56349,"@AppleSupport The apps are unexpectedly closing it, it seems a lot slower than it did before I updated it it’s like jumpy",0.2754568580942534,0.23641095291517958,"@115858 please get your shit together with this new update, my phone dies 10x faster than it did before I updated it to iOS 11.0.3😠",@358114 That should not be happening. Let us help. DM us which iPhone this is happening on. We'll go from there. https://t.co/GDrqU22YpT
83273,"@AppleSupport Yes, I did. But still not work.",0.5853705203691104,0.5666931578003277,@AppleSupport Yes i did,@330326 Got it. Does the word unknown appear as the Caller ID or is it just showing the phone number? DM the answer. https://t.co/GDrqU22YpT
99684,"@AppleSupport I need to factory reset an iPhone, I forgotten the restrictions password though, what should I do?",0.3836284076191995,0.3258563546738074,@AppleSupport @AppleSupport do you need to enter a password to factory reset an iPad?,"@212457 The iPad will need to be unlocked to be able to restore. If you don't have the password, see https://t.co/F1QfwW1u1N"
